image_id,image_filename,archive_member_name,file_format,width,height,aspect_ratio,file_size_bytes,sha256,read_status,network_expanded_path,network_expanded_same_hash
144,opera-12-144-s.jpg,爬虫脸谱图集/opera-12-144-s.jpg,JPEG,123,150,0.82000000,13571,bc8ff070ab312c74a9b6548a8e19d0c6594423e4997a252824d5f84c14160b30,readable,data/raw/脸谱新一步/网络图片汇总/144.jpg,yes
145,opera-13-145-s.jpg,爬虫脸谱图集/opera-13-145-s.jpg,JPEG,123,150,0.82000000,13818,3941e6921eaf51c34efeb21d9b9aad717064413a0374e413f0f44f349799be6d,readable,data/raw/脸谱新一步/网络图片汇总/145.jpg,yes
146,opera-13-146-s.jpg,爬虫脸谱图集/opera-13-146-s.jpg,JPEG,123,150,0.82000000,15430,0cbf11e065ec9e384ab14ebd25ef46dc791386aba72bbb5eab8dda8a7dbced1e,readable,data/raw/脸谱新一步/网络图片汇总/146.jpg,yes
147,opera-13-147-s.jpg,爬虫脸谱图集/opera-13-147-s.jpg,JPEG,123,150,0.82000000,12546,363fbda12852d71b2a201a409272bc0ecc9544865bb42754d11dc4a590fd0293,readable,data/raw/脸谱新一步/网络图片汇总/147.jpg,yes
148,opera-13-148-s.jpg,爬虫脸谱图集/opera-13-148-s.jpg,JPEG,123,150,0.82000000,15164,7ceb12cce50ddc87d9deb9f173595a5af62d03643f72236988753c7e5f72e95d,readable,data/raw/脸谱新一步/网络图片汇总/148.jpg,yes
149,opera-13-149-s.jpg,爬虫脸谱图集/opera-13-149-s.jpg,JPEG,123,150,0.82000000,14802,8e9429f841ac41f531169aefb77610c0e7e42e1d6916c58d7f94845843f2c040,readable,data/raw/脸谱新一步/网络图片汇总/149.jpg,yes
150,opera-13-150-s.jpg,爬虫脸谱图集/opera-13-150-s.jpg,JPEG,123,150,0.82000000,15305,e630a231b11f32e569378e8ba0a7178e8b1a5cc36216c5b013bbad0e9e6e22ec,readable,data/raw/脸谱新一步/网络图片汇总/150.jpg,yes
151,opera-13-151-s.jpg,爬虫脸谱图集/opera-13-151-s.jpg,JPEG,123,150,0.82000000,14979,52411277150b5451f608832552777af43237041e44b5b5ff94bcf010f5bad2b5,readable,data/raw/脸谱新一步/网络图片汇总/151.jpg,yes
152,opera-13-152-s.jpg,爬虫脸谱图集/opera-13-152-s.jpg,JPEG,123,150,0.82000000,14940,399a108fa88cbd22119b6611df03f328ca001a7364af992f2698eaa122d6e0ea,readable,data/raw/脸谱新一步/网络图片汇总/152.jpg,yes
153,opera-13-153-s.jpg,爬虫脸谱图集/opera-13-153-s.jpg,JPEG,123,150,0.82000000,15307,c5ca48c31108e75d54c626fcda42ef2b67b517eaf2d037cd2aee2e32be05fedd,readable,data/raw/脸谱新一步/网络图片汇总/153.jpg,yes
154,opera-13-154-s.jpg,爬虫脸谱图集/opera-13-154-s.jpg,JPEG,123,150,0.82000000,13855,bb3b9c6413bb4d333f7c8d2f0a54ff29848ae651176a3ff1d44beab10c43d462,readable,data/raw/脸谱新一步/网络图片汇总/154.jpg,yes
155,opera-13-155-s.jpg,爬虫脸谱图集/opera-13-155-s.jpg,JPEG,123,150,0.82000000,15356,83717b6c72caa94159cffb2f244ef0c62a0f3d88d15b646a553e1e105676a964,readable,data/raw/脸谱新一步/网络图片汇总/155.jpg,yes
156,opera-13-156-s.jpg,爬虫脸谱图集/opera-13-156-s.jpg,JPEG,123,150,0.82000000,14336,d6993c4e2229ec0656ebec1c59cb719874675b42429d2c25b7fa5a08a78118f1,readable,data/raw/脸谱新一步/网络图片汇总/156.jpg,yes
157,opera-14-157-s.jpg,爬虫脸谱图集/opera-14-157-s.jpg,JPEG,123,150,0.82000000,14732,0c561fc06a5989d54ed9f977b4820933b6602174283555293e14baf89a16a4ad,readable,data/raw/脸谱新一步/网络图片汇总/157.jpg,yes
158,opera-14-158-s.jpg,爬虫脸谱图集/opera-14-158-s.jpg,JPEG,123,150,0.82000000,15696,517fb2528b32719c5bc4dc3642d2eee4df18061f23dc346216859d7a69fa54a3,readable,data/raw/脸谱新一步/网络图片汇总/158.jpg,yes
159,opera-14-159-s.jpg,爬虫脸谱图集/opera-14-159-s.jpg,JPEG,123,150,0.82000000,14491,7c21b232f02e3f0c96d4dd88037872c1a8e8dd70fe66f0ed6b07d435ca7fd8a8,readable,data/raw/脸谱新一步/网络图片汇总/159.jpg,yes
160,opera-14-160-s.jpg,爬虫脸谱图集/opera-14-160-s.jpg,JPEG,123,150,0.82000000,13405,c89aa5518cf5cd67ddde304e9a0f877be12360b52e976fb86b1f0c1e164902b7,readable,data/raw/脸谱新一步/网络图片汇总/160.jpg,yes
161,opera-14-161-s.jpg,爬虫脸谱图集/opera-14-161-s.jpg,JPEG,123,150,0.82000000,13809,01958eacac136db12cd118631573af032b07c4eaf7a393cacf3cc6ae4df4a3aa,readable,data/raw/脸谱新一步/网络图片汇总/161.jpg,yes
162,opera-14-162-s.jpg,爬虫脸谱图集/opera-14-162-s.jpg,JPEG,123,150,0.82000000,14438,169c4562ea5986518f162edb7d854716d3fd70403a7699a68ecf65c852759474,readable,data/raw/脸谱新一步/网络图片汇总/162.jpg,yes
163,opera-14-163-s.jpg,爬虫脸谱图集/opera-14-163-s.jpg,JPEG,123,150,0.82000000,14702,8a098085e2c59325bb1b0952e667a26830bfec74fa3e7d96a51b81c95f58ac96,readable,data/raw/脸谱新一步/网络图片汇总/163.jpg,yes
