metadata_id,source_row_number,序号,标识号,角色,角色别名,角色类型,一级行当,二级行当,来源剧目,来源剧目别名,来源剧目出处,表演者,语种,关联角色,谱式,绘法,图案,主色,主色寓意,眉形,眼型,额头型,鼻型,嘴型,绘法说明,性格特征,历史演变,图像格式,图像宽度,图像高度,图像大小,图像水平分辨率,图像垂直分辨率,图像位深度,图像创建日期,角色简介,来源剧目简介,表演者简介,流派,参考资料
044,45,44,,苏宝同,,将官类,净,武净,界牌关,盘肠战,征西演义,侯喜瑞,中文,安殿宝,碎脸,勾脸,,黑色,,钩眉,,如意钩形,碎鼻窝,,,,,jpg,411,512,33.3,96,96,24,2020.1.5,,,侯喜瑞（1892年2月23日-1983年2月22日），京剧净角。幼入富连成科班，先学梆子老生，后师从韩乐卿学架子花脸和武花脸戏。出科后拜黄润甫为师，颇得真传，并在严承师教基础上，根据自身条件扬长避短，形成新的艺术风格“侯派”，与金少山、郝寿臣三足鼎立。侯喜瑞虽然嗓音较哑，但字准音足，听起来简练隽永，字字入耳。早年在富连成社担任武生净行教师，晚年在中国戏曲学院、北京市戏曲学校任教。,,
045,46,45,,薛葵,,将官类,净,副净,徐策跑城,,薛刚反唐,王鸿寿,中文,徐策,碎脸,勾脸,,黑色,,红黄眉,,葵形,碎鼻窝,,,,,jpg,411,512,34.8,96,96,24,2020.1.5,,,,,
046,47,46,,安殿宝,,将官类,净,武净,独木关,枪挑安殿宝、病挑安殿宝、薛礼叹月,征东全传,尚和玉,中文,薛仁贵,三块瓦脸,勾脸,,黄色,,螳螂眉,大奸眼窝,,卷鼻窝,,,,,jpg,411,512,26.3,96,96,24,2020.1.5,,,,,
047,48,47,,巴兰,,将官类,净,武净,百花公主,,,王正屏,中文,百花公主,三块瓦脸,勾脸,,红色,,刀眉,老眼窝,火字形,满鼻窝,,,,,jpg,425,512,27.7,96,96,24,2020.1.5,,,,,
048,49,48,,贺天龙,,将官类,净,武净,雁荡山,,隋唐演义,钱金福,中文,孟海公,三块瓦脸,勾脸,,油白色,,螳螂眉,大奸眼窝,随意形,尖鼻窝,,,,,jpg,413,491,24.4,96,96,24,2020.1.5,,,,,
049,50,49,,郭子仪,郭令公、郭汾阳,将官类,净,副净,满床笏,打金枝,隋唐演义,张二奎,中文,郭暧,六分脸,勾脸,,粉色,,老眉,老眼窝,立柱纹,满鼻窝,,,,,jpg,411,512,27.3,96,96,24,2020.1.5,,,,,
050,51,50,,王彦章,,将官类,净,副净,双观星,二童观星,残唐五代史演义,钱金福,中文,李克用,象形脸,勾脸,,黑色,,钩眉,,蛤蟆形,碎鼻窝,,,,,jpg,405,512,36.8,96,96,24,2020.1.5,,,,,
051,52,51,,周德威,,将官类,净,武净,珠帘寨,竹帘寨、沙陀国、解宝收威,残唐五代史演义,侯喜瑞,中文,李克用,三块瓦脸,勾脸,,红色,,刀眉,直眼窝,胆形,满鼻窝,,,,,jpg,417,512,29.7,96,96,24,2020.1.5,,,侯喜瑞（1892年2月23日-1983年2月22日），京剧净角。幼入富连成科班，先学梆子老生，后师从韩乐卿学架子花脸和武花脸戏。出科后拜黄润甫为师，颇得真传，并在严承师教基础上，根据自身条件扬长避短，形成新的艺术风格“侯派”，与金少山、郝寿臣三足鼎立。侯喜瑞虽然嗓音较哑，但字准音足，听起来简练隽永，字字入耳。早年在富连成社担任武生净行教师，晚年在中国戏曲学院、北京市戏曲学校任教。,,
052,53,52,,余洪,,将官类,净,武净,竹林计,火烧余洪,三下南唐,骆连翔,中文,赵匡胤,碎脸,勾脸,,黑色、金色,,,,随意形,碎鼻窝,,,,,jpg,403,512,37.1,96,96,24,2020.1.5,,,,,
053,54,53,,郑恩,郑子明,将官类,净,副净,打龙棚,万里侯,飞龙传,郝寿臣,中文,赵匡胤,歪脸,勾脸,,黑色,,凝眉,,螺形,歪鼻窝,,,,,jpg,421,512,37.4,96,96,24,2020.1.5,,,郝寿臣（1886年-1961年），著名京剧表演艺术家、教育家，工架子花脸。原籍河北香河，幼年随父迁京，从师吕福善、唐永常、朱子久、阎宝恒等学艺。郝寿臣融金秀山铜锤与黄润甫架子两家艺术于一炉，唱念上自成一格，创成被誉为“架子花脸铜锤唱”的郝派艺术。他以气魄取胜，唱念韵味浑厚，工架凝练，表演浑然一体。他艺术态度严谨，善于刻画人物，数十年艺术生涯中，在220余个剧目中扮演过160多个主要和次要角色。与侯喜瑞、金少山并称“净行三杰”。,,
054,55,54,,赵匡胤,宋太祖,将官类,生,红生,斩黄袍,斩郑恩、赐黄袍、桃花宫、酒醉桃花宫,飞龙传,刘鸿声,中文,郑恩,整脸,勾脸,,红色,,凝眉,,红色脑门,,,,,,jpg,414,512,28.7,96,96,24,2020.1.5,,,刘鸿声（1876—1921），字子余，号泽滨，北京人。京剧老生名家，因业余爱好京剧而加入班社演唱。初演铜锤花脸，宗穆风山一派，后改唱老生，以嗓音高亢、挺拔、流利而著名，世称“刘派”。刘鸿声因跛足，又无幼工，故基本没有靠把戏、武老生戏及特殊的表演技艺，以唱功戏为主。他以奎派的唱腔为基础，吸收各派老生的唱法，因嗓音高而音域窄，乃形成一种独特唱法，别具韵味，以唱工独具特色为主要标志。,,
055,56,55,,呼延赞,,将官类,净,武净,龙虎斗,风云会、下河东、白龙关,杨家将演义,朱斌仙,中文,赵匡胤,碎脸,勾脸,,黑色,,点眉,环眼窝,王字形,碎鼻窝,虎嘴,,,,jpg,408,512,38,96,96,24,2020.1.5,,,,,
056,57,56,,崔子健,,将官类,净,副净,佘赛花,佘塘关,残唐五代史演义,通用,中文,杨业,十字门脸,勾脸,,红色,,蝙蝠眉,鸟眼窝,立柱纹,卷鼻窝,,,,,jpg,414,512,31,96,96,24,2020.1.5,,,,,
057,58,57,,钟离春,钟无艳,将官类,旦,,湘江会,,列女传,张玉文,中文,晏婴,碎脸,勾脸,,蓝色,,柳叶眉,鸟眼窝,莲花形,哭鼻窝,虎嘴,,,,jpg,412,502,35.6,96,96,24,2020.1.5,,,,,
058,59,58,,里克,,将官类,净,武净,蜜蜂计,骊姬祸,东周列国志,,中文,,碎脸,勾脸,,黑色,,蝙蝠眉,垂眼窝,点形,转鼻窝,,,,,jpg,412,502,35.8,96,96,24,2020.1.5,,,,,
059,60,59,,毛奔,毛逩,将官类,净,副净,五雷阵,孙庞斗智、兵吞六国,东周列国志,通用,中文,庞涓,花三块瓦脸,勾脸,,灰色,,,尖眼窝,如意钩形,碎鼻窝,,,,,jpg,412,502,33.2,96,96,24,2020.1.5,,,,,
060,61,60,,雷震子,雷振子,神怪类,净,武净,攻潼关,氤氲阵,封神演义,钱金福,中文,姬昌,象形脸,勾脸,,蓝色,,云眉,尖眼窝,明镜形,蒜头鼻窝,雷公嘴,,,,jpg,412,502,37.9,96,96,24,2020.1.5,,,,,
061,62,61,,魏绛,魏庄子,将官类,净,正净,赵氏孤儿,搜孤救孤,东周列国志,裘盛戎,中文,屠岸贾,三块瓦脸,勾脸,,粉红色,,刀眉,老眼窝,随意形,满鼻窝,,,,,jpg,412,502,28,96,96,24,2020.1.5,,,,,
062,63,62,,颍考叔,考叔,将官类,净,副净,伐子都,牛脾山、罚子都、搴旗夺车,东周列国志,郭元汾,中文,惠南王,三块瓦脸,勾脸,,红色,,直眉,直眼窝,钱形,满鼻窝,,,,,jpg,412,502,27.2,96,96,24,2020.1.5,,,郭元汾（？-1962年），京剧净角，京剧演员郭春山先生的长子。在入富连成科班后主攻铜锤花脸。郭元汾在唱法上不尚雕饰，吐字行腔遵循传统，追求严谨朴拙的风格，极少个人的发挥创造。他的唱功可称是黄钟大吕，声震屋瓦，他的做功边式好看，细腻传神，是位不可多得的全才净角。解放后调入北京，编入解放军总政治部文工团京剧团，后并入中国京剧院，列为四团。1958年郭元汾随四团支援宁夏，成立宁夏回族自治区京剧团。,,
063,64,63,,先蔑,,将官类,净,武净,摘缨会,晋楚交兵、功臣宴、绝缨会,东周列国志,钱金福,中文,楚庄王,十字门脸,勾脸,,黑色,,锯齿眉,大奸眼窝,立柱纹,卷鼻窝,,,,,jpg,412,502,30.8,96,96,24,2020.1.5,,,,,
064,65,64,,屠岸贾,,将官类,净,副净,赵氏孤儿,搜孤救孤,东周列国志,郝寿臣,中文,魏绛,花三块瓦脸,勾脸,,,,奸眉,垂眼窝,立柱纹,圆鼻窝,,,,,jpg,412,502,32.7,96,96,24,2020.1.5,,,郝寿臣（1886年-1961年），著名京剧表演艺术家、教育家，工架子花脸。原籍河北香河，幼年随父迁京，从师吕福善、唐永常、朱子久、阎宝恒等学艺。郝寿臣融金秀山铜锤与黄润甫架子两家艺术于一炉，唱念上自成一格，创成被誉为“架子花脸铜锤唱”的郝派艺术。他以气魄取胜，唱念韵味浑厚，工架凝练，表演浑然一体。他艺术态度严谨，善于刻画人物，数十年艺术生涯中，在220余个剧目中扮演过160多个主要和次要角色。与侯喜瑞、金少山并称“净行三杰”。,,
065,66,65,,王陵,,将官类,净,副净,陵母伏剑,,汉书·王陵传,通用,中文,,三块瓦脸,勾脸,,红色,,凝眉,直眼窝,如意钩形,满鼻窝,,,,,jpg,412,502,31.3,96,96,24,2020.1.5,,,,,
066,67,66,,夏侯婴,,,丑,,,,,,中文,,,,,,,,,,,,,,,jpg,412,502,30.3,96,96,24,2020.1.5,,,,,
067,68,67,,英布,,将官类,净,武净,霸王别姬,九里山、楚汉争、十面埋伏、垓下围、乌江自刎、乌江恨,史记·项羽本纪,杨小楼,中文,项羽,碎脸,勾脸,,黄色,,,,随意形,碎鼻窝,火盆嘴,,,,jpg,412,502,38.9,96,96,24,2020.1.5,,,杨小楼（1878年-1938年），名三元，安徽怀宁人，京剧武生演员，有“武生宗师”的盛誉。自幼入小荣椿社学艺，工武生。十七岁出科后，拜俞菊笙为师，又得谭鑫培等名家指点。杨小楼嗓音清脆洪亮，唱念均遵“奎派”风范，咬字清楚真切，间有京音，行腔朴直无华。在艺术上继承家学，同时博采众长，逐渐形成独树一帜的“杨派”。武打步法准确灵敏，无空招废式，贴切地表现人物的性格，着力体现意境，追求神似，也即“武戏文唱”的杨派特点。,,
