metadata_id,source_row_number,序号,标识号,角色,角色别名,角色类型,一级行当,二级行当,来源剧目,来源剧目别名,来源剧目出处,表演者,语种,关联角色,谱式,绘法,图案,主色,主色寓意,眉形,眼型,额头型,鼻型,嘴型,绘法说明,性格特征,历史演变,图像格式,图像宽度,图像高度,图像大小,图像水平分辨率,图像垂直分辨率,图像位深度,图像创建日期,角色简介,来源剧目简介,表演者简介,流派,参考资料
087,88,87,,董卓,董仲颖,将官类,净,副净,凤仪亭,梳妆掷戟,三国演义,赵炳啸,中文,吕布,整脸,抹脸,,白色,,本眉,奸眼窝,,尖鼻窝,,,,,jpg,366,450,19.9,96,96,24,2020.1.5,,,,金派,
088,89,88,,马谡,马幼常,将官类,净,副净,失街亭,,三国演义,侯喜瑞,中文,司马懿,三块瓦脸,勾脸,,油白色,,,直眼窝,锥形,满鼻窝,,,,,jpg,358,450,18.4,96,96,24,2020.1.5,,,侯喜瑞（1892年2月23日-1983年2月22日），京剧净角。幼入富连成科班，先学梆子老生，后师从韩乐卿学架子花脸和武花脸戏。出科后拜黄润甫为师，颇得真传，并在严承师教基础上，根据自身条件扬长避短，形成新的艺术风格“侯派”，与金少山、郝寿臣三足鼎立。侯喜瑞虽然嗓音较哑，但字准音足，听起来简练隽永，字字入耳。早年在富连成社担任武生净行教师，晚年在中国戏曲学院、北京市戏曲学校任教。,,
089,90,89,,郭荣,郭太师,将官类,净,副净,草桥关,威镇草桥,东汉演义,郭元汾,中文,铫期,整脸,抹脸,,白色,,本眉,奸眼窝,,尖鼻窝,,,,,jpg,412,502,28.7,96,96,24,2020.1.5,,,郭元汾（？-1962年），京剧净角，京剧演员郭春山先生的长子。在入富连成科班后主攻铜锤花脸。郭元汾在唱法上不尚雕饰，吐字行腔遵循传统，追求严谨朴拙的风格，极少个人的发挥创造。他的唱功可称是黄钟大吕，声震屋瓦，他的做功边式好看，细腻传神，是位不可多得的全才净角。解放后调入北京，编入解放军总政治部文工团京剧团，后并入中国京剧院，列为四团。1958年郭元汾随四团支援宁夏，成立宁夏回族自治区京剧团。,,
090,91,90,,王元,,将官类,净,武净,取洛阳,光武兴,东汉演义,,中文,,元宝脸,勾脸,,,,,,如意钩形,卷鼻窝,,,,,jpg,412,502,28.1,96,96,24,2020.1.5,,,,,
091,92,91,,须贾,,将官类,净,副净,赠绨袍,须贾谇范雎,东周列国志,郝寿臣,中文,范雎,三块瓦脸,勾脸,,白色,,奸眉,尖眼窝,锥形,卷鼻窝,,,,,jpg,412,502,27.9,96,96,24,2020.1.5,,,郝寿臣（1886年-1961年），著名京剧表演艺术家、教育家，工架子花脸。原籍河北香河，幼年随父迁京，从师吕福善、唐永常、朱子久、阎宝恒等学艺。郝寿臣融金秀山铜锤与黄润甫架子两家艺术于一炉，唱念上自成一格，创成被誉为“架子花脸铜锤唱”的郝派艺术。他以气魄取胜，唱念韵味浑厚，工架凝练，表演浑然一体。他艺术态度严谨，善于刻画人物，数十年艺术生涯中，在220余个剧目中扮演过160多个主要和次要角色。与侯喜瑞、金少山并称“净行三杰”。,,
092,93,92,,专诸,,将官类,净,武净,鱼肠剑,鱼藏剑,东周列国志,马连昆,中文,姬僚,三块瓦脸,勾脸,,紫红色,,刀眉,直眼窝,胆形,满鼻窝,,,,,jpg,412,502,32.6,96,96,24,2020.1.5,,,,,
093,94,93,,曹操,曹孟德,将官类,净,副净,捉放曹,捉放宿店、中牟县、陈宫计,三国演义,侯喜瑞,中文,陈宫,整脸,抹脸,,白色,,本眉,奸眼窝,,,,,,,jpg,366,450,17.4,96,96,24,2020.1.5,,,侯喜瑞（1892年2月23日-1983年2月22日），京剧净角。幼入富连成科班，先学梆子老生，后师从韩乐卿学架子花脸和武花脸戏。出科后拜黄润甫为师，颇得真传，并在严承师教基础上，根据自身条件扬长避短，形成新的艺术风格“侯派”，与金少山、郝寿臣三足鼎立。侯喜瑞虽然嗓音较哑，但字准音足，听起来简练隽永，字字入耳。早年在富连成社担任武生净行教师，晚年在中国戏曲学院、北京市戏曲学校任教。,,
094,95,94,,典韦,,将官类,净,武净,战宛城,盗双戟、割发代首、张绣刺婶,三国演义,钱金福,中文,曹操,花三块瓦脸,勾脸,,黄色,,钩眉,垂眼窝,随意形,碎鼻窝,,,,,jpg,363,450,24.9,96,96,24,2020.1.5,,,,,
095,96,95,,贾华,,将官类,丑,武丑,甘露寺,龙凤配、美人计,三国演义,通用,中文,,白粉脸,勾脸,,白色,,随意眉,,,满鼻窝,,,,,jpg,377,450,21.8,96,96,24,2020.1.5,,,,,
096,97,96,,程普,,将官类,净,武净,凤凰二乔,凤凰台,三国演义,通用,中文,孙策,三块瓦脸,勾脸,,红色,,刀眉,直眼窝,胆形,满鼻窝,,,,,jpg,368,450,22.6,96,96,24,2020.1.5,,,,,
097,98,97,,尉迟宝林,,将官类,净,武净,白良关,雌雄鞭、父子会,小尉迟认父,马连昆,中文,尉迟恭,十字门脸,勾法,,黑色,,柳叶眉,环眼窝,立柱纹,笑鼻窝,虎嘴,,,,jpg,412,512,29.3,96,96,24,2020.1.5,,,,,
098,99,98,,程咬金,程知节、程义贞、阿丑,英雄类,净,武净,响马传,,隋唐演义,袁世海,中文,尤俊达,碎脸,勾法,,绿色,,红黄眉,花眼窝,胆形,碎鼻窝,,,,,jpg,389,512,27.9,96,96,24,2020.1.5,,,,,
099,100,99,,单雄信,飞将,英雄类,净,武净,贾家楼,三十六友、五面枷,隋唐演义,侯喜瑞,中文,程咬金,花三块瓦脸,勾法,,蓝色,,红黄眉,花眼窝,胆形,碎鼻窝,,,,,jpg,406,512,31.1,96,96,24,2020.1.5,,,侯喜瑞（1892年2月23日-1983年2月22日），京剧净角。幼入富连成科班，先学梆子老生，后师从韩乐卿学架子花脸和武花脸戏。出科后拜黄润甫为师，颇得真传，并在严承师教基础上，根据自身条件扬长避短，形成新的艺术风格“侯派”，与金少山、郝寿臣三足鼎立。侯喜瑞虽然嗓音较哑，但字准音足，听起来简练隽永，字字入耳。早年在富连成社担任武生净行教师，晚年在中国戏曲学院、北京市戏曲学校任教。,,
100,101,100,,尉迟恭,尉迟敬德,将官类,净,正净,白良关,雌雄鞭、父子会,小尉迟认父,金少山,中文,尉迟宝林,六分脸,勾法,,黑色,,老眉,,立柱纹,,,,,,jpg,407,512,18.9,96,96,24,2020.1.5,,,金少山（1890年-1948年8月13日），一说作仲义，又名少山。满族，北京人，京剧净行演员，京剧名净金秀山三子。幼年从父学艺，工铜锤花脸，兼宗何桂山。同时，他从韩乐卿习练武功把子，后拜德珺如为师学架子花脸戏。由于金少山学艺众多，天赋优厚，声音洪亮，在方方面面皆都具备，其艺术风格已经不仅限于父亲金秀山的“金派”范围。他通过发挥自身条件，将净角艺术提高到一个新的高度，形成了自己的流派“新金派”。,,
101,102,101,,金甲,,将官类,净,武净,贾家楼,三十六友、五面枷,隋唐演义,通用,中文,童环,碎脸,揉脸,,黄色,,云眉,花眼窝,立柱纹,碎鼻窝,吊死鬼嘴,,,,jpg,409,512,32.4,96,96,24,2020.1.5,,,,,
102,103,102,,童环,,将官类,净,武净,贾家楼,三十六友、五面枷,隋唐演义,通用,中文,金甲,碎脸,勾法,,红色,,,垂眼窝,蝙蝠形,碎鼻窝,虎嘴,,,,jpg,412,512,31.7,96,96,24,2020.1.5,,,,,
103,104,103,,李元霸,李玄霸,将官类,净,武净,晋阳宫,,隋唐演义,杨小楼,中文,宇文成都,象形脸,勾脸,,黑色,,云眉,鸟眼窝,随意形,,雷公嘴,,,,jpg,414,512,31.7,96,96,24,2020.1.5,,,杨小楼（1878年-1938年），名三元，安徽怀宁人，京剧武生演员，有“武生宗师”的盛誉。自幼入小荣椿社学艺，工武生。十七岁出科后，拜俞菊笙为师，又得谭鑫培等名家指点。杨小楼嗓音清脆洪亮，唱念均遵“奎派”风范，咬字清楚真切，间有京音，行腔朴直无华。在艺术上继承家学，同时博采众长，逐渐形成独树一帜的“杨派”。武打步法准确灵敏，无空招废式，贴切地表现人物的性格，着力体现意境，追求神似，也即“武戏文唱”的杨派特点。,,
104,105,104,,李密,,将官类,净,副净,断密涧,双投唐、双带箭、银宫山,隋唐演义,郝寿臣,中文,王伯当,花三块瓦脸,勾脸,,紫红色,,柳叶眉,大奸眼窝,立柱纹,满鼻窝,,,,,jpg,400,512,24.3,96,96,24,2020.1.5,,,郝寿臣（1886年-1961年），著名京剧表演艺术家、教育家，工架子花脸。原籍河北香河，幼年随父迁京，从师吕福善、唐永常、朱子久、阎宝恒等学艺。郝寿臣融金秀山铜锤与黄润甫架子两家艺术于一炉，唱念上自成一格，创成被誉为“架子花脸铜锤唱”的郝派艺术。他以气魄取胜，唱念韵味浑厚，工架凝练，表演浑然一体。他艺术态度严谨，善于刻画人物，数十年艺术生涯中，在220余个剧目中扮演过160多个主要和次要角色。与侯喜瑞、金少山并称“净行三杰”。,,
105,106,105,,宇文成都,天宝大将,将官类,净,武净,晋阳宫,,隋唐演义,钱金福,中文,李元霸,三块瓦脸,勾脸,,黄色,,刀眉,直眼窝,,尖鼻窝,,,,,jpg,425,512,26.1,96,96,24,2020.1.5,,,,,
106,107,106,,鲍赐安,鲍自安,英雄类,净,武净,龙潭镇,龙潭鲍骆,绿牡丹全传,许德义,中文,濮天鹏,三块瓦脸,勾脸,,白色,,刀眉,老眼窝,胆形,满鼻窝,,,,,jpg,425,512,23.2,96,96,24,2020.1.5,,,许德义（1886年-1944年），名全增，北京人，京剧武净演员。其父为“奎派”老生许荫棠。自幼坐科福寿科班，工武净，拜前辈武净范福泰为师，与范福泰之子范宝亭是师兄弟。出科后，他为杨小楼的得力配角。许德义武功基础磁实，长靠短打皆精，以勇猛见长，英气勃勃，颇有大将风度。其为人直爽性格倔强，对艺术极端负责，台上从不懈怠，全力以赴。如有演出瑕疵，都会引起他深深的自责，“许德义自责”逐渐传为梨园佳话。,,
107,108,107,,黄胖,,英雄类,净,武净,巴骆和,,绿牡丹全传,通用,中文,巴杰,僧道脸,勾脸,,黄色,,蝙蝠眉,腰子眼窝,舍利子形,,火盆嘴,,,,jpg,413,512,30.7,96,96,24,2020.1.5,,,,,
108,109,108,,猩猩胆,,将官类,净,武净,摩天岭,,征东全传,通用,中文,薛仁贵,象形脸,揉脸,,蓝色,,随意眉,,火焰形,,雷公嘴,,,,jpg,413,512,32.2,96,96,24,2020.1.5,,,,,
109,110,109,,盖苏文,,将官类,,副净,汾河湾,打雁进窑、薛礼还家,征东全传,谭鑫培,中文,薛仁贵,花三块瓦脸,勾脸,,绿色,,刀眉,大奸眼窝,随意形,尖鼻窝,,,,,jpg,413,512,31.6,96,96,24,2020.1.5,,,,,
110,111,110,,巴杰,,英雄类,净,武净,巴骆和,,绿牡丹全传,侯喜瑞,中文,胡里,碎脸,勾脸,,黑色,,红色眉,花眼窝,随意形,碎鼻窝,吊死鬼嘴,,,,jpg,413,512,31.4,96,96,24,2020.1.5,,,侯喜瑞（1892年2月23日-1983年2月22日），京剧净角。幼入富连成科班，先学梆子老生，后师从韩乐卿学架子花脸和武花脸戏。出科后拜黄润甫为师，颇得真传，并在严承师教基础上，根据自身条件扬长避短，形成新的艺术风格“侯派”，与金少山、郝寿臣三足鼎立。侯喜瑞虽然嗓音较哑，但字准音足，听起来简练隽永，字字入耳。早年在富连成社担任武生净行教师，晚年在中国戏曲学院、北京市戏曲学校任教。,,
111,112,111,,朱温,,将官类,净,副净,雅观楼,擒孟觉海,残唐五代史演义,通用,中文,孟觉海,三块瓦脸,勾脸,,绿色,,黄色眉,大奸眼窝,蝙蝠形,尖鼻窝,,,,,jpg,419,512,30.4,96,96,24,2020.1.5,,,,,
112,113,112,,孟觉海,,英雄类,净,武净,雅观楼,擒孟觉海,残唐五代史演义,侯喜瑞,中文,朱温,三块瓦脸,勾脸,,红色,,狼牙眉,,如意钩形,碎鼻窝,虎嘴,,,,jpg,419,512,29.8,96,96,24,2020.1.5,,,侯喜瑞（1892年2月23日-1983年2月22日），京剧净角。幼入富连成科班，先学梆子老生，后师从韩乐卿学架子花脸和武花脸戏。出科后拜黄润甫为师，颇得真传，并在严承师教基础上，根据自身条件扬长避短，形成新的艺术风格“侯派”，与金少山、郝寿臣三足鼎立。侯喜瑞虽然嗓音较哑，但字准音足，听起来简练隽永，字字入耳。早年在富连成社担任武生净行教师，晚年在中国戏曲学院、北京市戏曲学校任教。,,
113,114,113,,高旺,,将官类,净,正净,牧虎关,黑风帕、背鞭认子,杨家将演义,裘盛戎,中文,杨延琪,十字门脸,勾脸,,,,老眉,直眼窝,立柱纹,满鼻窝,,,,,jpg,410,512,22.4,96,96,24,2020.1.5,,,,,
114,115,114,,天庆王,,将官类,净,副净,金沙滩,双龙会、八虎闯幽州,杨家将演义,通用,中文,杨延嗣,整脸,抹脸,,白色,,本眉,奸眼窝,,尖鼻窝,,,,,jpg,422,512,25.7,96,96,24,2020.1.5,,,,,
115,116,115,,韩昌,耶律遂正,将官类,净,武净,雁门关,八郎探母、南北和,杨家将演义,通用,中文,萧天佐,碎脸,揉脸,,红色,,,尖眼窝,点形,尖鼻窝,元宝嘴,,,,jpg,414,512,31.7,96,96,24,2020.1.5,,,,,
116,117,116,,白天佐,,将官类,净,武净,破洪州,天门阵,杨家将演义,通用,中文,萧天佐,花三块瓦脸,勾脸,,白色,,狼牙眉,尖眼窝,点形,卷鼻窝,火盆嘴,,,,jpg,415,512,27.8,96,96,24,2020.1.5,,,,,
117,118,117,,孟良,,将官类,净,正净,洪羊洞,孟良盗骨、三星归位,杨家将演义,马连昆,中文,焦赞,十字门脸,勾脸,,红色,,葫芦眉,垂眼窝,葫芦形,笑鼻窝,,,,,jpg,413,512,29.7,96,96,24,2020.1.5,,,,,
118,119,118,,焦赞,,将官类,净,副净,三岔口,焦赞发配,杨家将演义,黄润甫,中文,刘利华,十字门脸,勾脸,,白色,,柳叶眉,垂眼窝,立柱纹,笑鼻窝,,,,,jpg,408,496,27.9,96,96,24,2020.1.5,,,黄润甫（1845年-1916年），满族，北京人。因排行第三，人们都称他为“黄三”。自幼好读诗书，通晓诗文，爱好京剧，拜四喜班的朱志学为师，学习架子花脸。黄润甫表演功架秀丽，神态自然，讲究造型美。在继承和吸收前辈及同辈艺术的同时，加以创造、革新，影响侯喜瑞等一批大家。他通过吸收当代人的一些生活，提炼入戏，逐渐形成了自己的艺术风格，从而创立了架子花脸的第一个表演艺术流派“黄派”。,,
119,120,119,,杨延德,杨五郎,将官类,净,副净,五台山,五郎出家、五台会兄、大五台、兄弟会,杨家将演义,何桂山,中文,杨延昭,僧道脸,勾脸,,白色,,点眉,腰子眼窝,舍利子形,笑鼻窝,,,,,jpg,420,512,28.8,96,96,24,2020.1.5,,,,,
120,121,120,,杨延嗣,杨七郎,将官类,净,武净,金沙滩,双龙会、八虎闯幽州,杨家将演义,尚和玉,中文,天庆王,碎脸,勾脸,,黑色,,环眉,尖眼窝,虎字形,碎鼻窝,虎嘴,,,,jpg,419,512,36.9,96,96,24,2020.1.5,,,,,
121,122,121,,杨林,杨虎臣、靠山王,将官类,净,武净,车轮战,,隋唐演义,韩乐卿,中文,韩擒虎,三块瓦脸,勾脸,,粉红色,,锯齿眉,大奸眼窝,随意形,尖鼻窝,,,,,jpg,386,512,25,96,96,24,2020.1.5,,,,,
122,123,122,,辛文礼,,将官类,净,武净,霓虹关,东方夫人、伯当招亲、替夫报仇、黄土关,隋唐演义,朱斌仙,中文,东方氏,碎脸,勾脸,,黑色,,红色眉,,螺形,碎鼻窝,,,,,jpg,417,512,37.1,96,96,24,2020.1.5,,,,,
123,124,123,,李克用,李存孝,将官类,净,副净,珠帘寨,竹帘寨、沙陀国、解宝收威,残唐五代史演义,穆凤山,中文,周德威,六分脸,勾脸,,红色,,点眉,,立柱纹,,,,,,jpg,419,512,21.3,96,96,24,2020.1.5,,,,,
124,125,124,,胡里,,英雄类,丑,武丑,巴骆和,,绿牡丹全传,钱金福,中文,巴杰,,揉脸,,黑色,,红色眉,,锥形,蒜头鼻窝,元宝嘴,,,,jpg,419,512,29.3,96,96,24,2020.1.5,,,,,
125,126,125,,巴若里,,将官类,净,武净,状元媒,铜台阵、杨六郎招亲,杨家将演义,通用,中文,傅龙,碎脸,揉脸,,黑色,,,,胆形,碎鼻窝,,,,,jpg,420,512,35,96,96,24,2020.1.5,,,,,
126,127,126,,傅龙,,将官类,净,副净,状元媒,铜台阵、杨六郎招亲,杨家将演义,通用,中文,巴若里,六分脸,勾脸,,粉色,,钩眉,老眼窝,,满鼻窝,,,,,jpg,406,512,23.9,96,96,24,2020.1.5,,,,,
127,128,127,,潘洪,,将官类,净,副净,清官册,审潘洪、升官图、提寇阴审、霞谷县,杨家将演义,郝寿臣,中文,寇准,整脸,抹脸,,白色,,本眉,奸眼窝,,,,,,,jpg,412,502,33.6,150,150,24,2020.1.5,,,郝寿臣（1886年-1961年），著名京剧表演艺术家、教育家，工架子花脸。原籍河北香河，幼年随父迁京，从师吕福善、唐永常、朱子久、阎宝恒等学艺。郝寿臣融金秀山铜锤与黄润甫架子两家艺术于一炉，唱念上自成一格，创成被誉为“架子花脸铜锤唱”的郝派艺术。他以气魄取胜，唱念韵味浑厚，工架凝练，表演浑然一体。他艺术态度严谨，善于刻画人物，数十年艺术生涯中，在220余个剧目中扮演过160多个主要和次要角色。与侯喜瑞、金少山并称“净行三杰”。,,
128,129,128,,陶洪,,将官类,丑,武丑,打瓜园,,飞龙传,王长林,中文,郑恩,角筝形脸,勾脸,,,,随意眉,,,,,,,,jpg,412,502,37.9,150,150,24,2020.1.5,,,,,
129,130,129,,包拯,包青天,将官类,净,正净,铡美案,秦香莲,包公案,侯喜瑞,中文,陈世美,整脸,勾脸,,黑色,,勺眉,,月牙形,,,,,,jpg,412,502,38,150,150,24,2020.1.5,,,侯喜瑞（1892年2月23日-1983年2月22日），京剧净角。幼入富连成科班，先学梆子老生，后师从韩乐卿学架子花脸和武花脸戏。出科后拜黄润甫为师，颇得真传，并在严承师教基础上，根据自身条件扬长避短，形成新的艺术风格“侯派”，与金少山、郝寿臣三足鼎立。侯喜瑞虽然嗓音较哑，但字准音足，听起来简练隽永，字字入耳。早年在富连成社担任武生净行教师，晚年在中国戏曲学院、北京市戏曲学校任教。,,
130,131,130,,赵虎,,将官类,净,副净,铡美案,秦香莲,包公案,钱金福,中文,包拯,碎脸,勾脸,,黑色,,,,如意钩形,碎鼻窝,,,,,jpg,412,502,40.1,150,150,24,2020.1.5,,,,,
131,132,131,,王朝,,将官类,净,副净,铡美案,秦香莲,包公案,钱金福,中文,包拯,三块瓦脸,勾脸,,红色,,直眉,尖眼窝,如意钩形,尖鼻窝,,,,,jpg,412,502,63.6,150,150,24,2020.1.5,,,,,
132,133,132,,马汉,,将官类,净,副净,铡美案,秦香莲,包公案,钱金福,中文,包拯,元宝脸,勾脸,,,,刀眉,直眼窝,,尖鼻窝,,,,,jpg,412,502,40.7,150,150,24,2020.1.5,,,,,
133,134,133,,张天龙,,将官类,净,副净,双沙河,吐蕃国、人才驸马,杨家将演义,通用,中文,杨仙童,象形脸,揉脸,,蓝色,,,,手形,满鼻窝,,,,,jpg,412,502,38.9,150,150,24,2020.1.5,,,,,
134,135,134,,书童,,,,,盗银瓶,,,,中文,,,,,,,,,,,,,,,jpg,412,502,31,150,150,24,2020.1.5,,,,,
135,136,135,,呼延庆,,将官类,净,武净,呼延庆打擂,,呼家将,范宝亭,中文,包拯,碎脸,揉脸,,黑色,,凝眉,鸟眼窝,虎字形,哭鼻窝,虎嘴,,,,jpg,412,502,43.7,150,150,24,2020.1.5,,,范宝亭（1887年-1944年2月7日），北京人，著名京剧武净。科班出身，自幼坐科福寿班，和许德义同门。任荣春社教师、中华戏曲专科学校净行教师。范宝亭戏路极广，能演长靠戏、短打戏，经常参加名演员创演的新戏。范宝亭的跌打翻扑的特技功夫是无人与之匹敌的。他演戏不但应付自如，还发扬了他的革新精神。范宝亭有很多弟子，最知名的是刘奎官，厉慧良、景荣庆等也曾受教于他。,,
136,137,136,,王文,,将官类,净,武净,杨家女将,,杨家将演义,通用,中文,杨文广,三块瓦脸,勾脸,,白色,,奸眉,尖眼窝,线形,尖鼻窝,,,,,jpg,412,502,38.8,150,150,24,2020.1.5,,,,,
137,138,137,,韩彰,,英雄类,净,武净,花蝴蝶,邓家堡、鸳鸯桥,三侠五义,李春来,中文,徐庆、卢方,三块瓦脸,勾脸,,蓝色,,螳螂眉,尖眼窝,随意形,卷鼻窝,,,,,jpg,412,503,45.3,150,150,24,2020.1.5,,,李春来（1855-1925），京剧武生演员，字起山，河北高碑店人。早年在北京丰台喜春台梆子科班坐科。出科后在京津一带演出，后漂泊至上海，虽一度返京，但最后久居上海。其身材魁梧，武技精湛，动作迅捷、边式，开打干净、利索，以短打戏见长，且多独到之处。李春来被尊为南派武生宗师。与俞菊笙、黄月山并称为京剧武生三大流派。,,
138,139,138,,徐庆,,英雄类,净,武净,花蝴蝶,邓家堡、鸳鸯桥,三侠五义,李春来,中文,韩彰、卢方,碎脸,勾脸,,绿色,,螳螂眉,环眼窝,锥形,碎鼻窝,,,,,jpg,412,502,49.2,150,150,24,2020.1.5,,,李春来（1855-1925），京剧武生演员，字起山，河北高碑店人。早年在北京丰台喜春台梆子科班坐科。出科后在京津一带演出，后漂泊至上海，虽一度返京，但最后久居上海。其身材魁梧，武技精湛，动作迅捷、边式，开打干净、利索，以短打戏见长，且多独到之处。李春来被尊为南派武生宗师。与俞菊笙、黄月山并称为京剧武生三大流派。,,
139,140,139,,卢方,,英雄类,净,武净,花蝴蝶,邓家堡、鸳鸯桥,三侠五义,李春来,中文,韩彰、徐庆,三块瓦脸,勾脸,,粉色,,,老眼窝,扇形,灰鼻窝,,,,,jpg,412,502,39.7,150,150,24,2020.1.5,,,李春来（1855-1925），京剧武生演员，字起山，河北高碑店人。早年在北京丰台喜春台梆子科班坐科。出科后在京津一带演出，后漂泊至上海，虽一度返京，但最后久居上海。其身材魁梧，武技精湛，动作迅捷、边式，开打干净、利索，以短打戏见长，且多独到之处。李春来被尊为南派武生宗师。与俞菊笙、黄月山并称为京剧武生三大流派。,,
140,141,140,,蒋平,,,丑,,蒋平捞印,,,,中文,,,,,,,随意眉,,,,,,,,jpg,412,502,38.5,150,150,24,2020.1.5,,,,,
141,142,141,,公孙胜,入云龙,英雄类,净,副净,黄泥岗,生辰纲、七星聚义,水浒传,盖叫天,中文,晁盖,三块瓦脸,勾脸,,红色,,刀眉,尖眼窝,太极形,卷鼻窝,,,,,jpg,412,502,45.9,150,150,24,2020.1.5,,,盖叫天（1888年-1971年1月15日），原名张英杰，号燕南，河北高阳县人，著名京剧表演艺术家。自幼入天津隆庆利科班，习武生。他继承南派武生创始人李春来的艺术风格，兼收京剧和昆曲各派武生表演艺术的长处，并借鉴武术，仔细观察自然界的各种现象，充实自身塑造人物形象的表现力。他以丰富的武打技术和人物形体美的造型，逐渐形成了独具特色的“盖派”表演艺术。因擅演《武松》，有“江南活武松”之誉。,,
142,143,142,,刘唐,赤发鬼,英雄类,净,武净,浔阳楼,闹江州,水浒传,盖叫天,中文,晁盖,十字门脸,勾脸,,蓝色,,,垂眼窝,葫芦形,笑鼻窝,,,,,jpg,412,502,42.3,150,150,24,2020.1.5,,,盖叫天（1888年-1971年1月15日），原名张英杰，号燕南，河北高阳县人，著名京剧表演艺术家。自幼入天津隆庆利科班，习武生。他继承南派武生创始人李春来的艺术风格，兼收京剧和昆曲各派武生表演艺术的长处，并借鉴武术，仔细观察自然界的各种现象，充实自身塑造人物形象的表现力。他以丰富的武打技术和人物形体美的造型，逐渐形成了独具特色的“盖派”表演艺术。因擅演《武松》，有“江南活武松”之誉。,,
143,144,143,,晁盖,晁天王,英雄类,净,副净,浔阳楼,闹江州,水浒传,盖叫天,中文,杨志,三块瓦脸,勾脸,,黄色,,刀眉,老眼窝,随意形,灰鼻窝,,,,,jpg,412,502,36.9,150,150,24,2020.1.5,,,盖叫天（1888年-1971年1月15日），原名张英杰，号燕南，河北高阳县人，著名京剧表演艺术家。自幼入天津隆庆利科班，习武生。他继承南派武生创始人李春来的艺术风格，兼收京剧和昆曲各派武生表演艺术的长处，并借鉴武术，仔细观察自然界的各种现象，充实自身塑造人物形象的表现力。他以丰富的武打技术和人物形体美的造型，逐渐形成了独具特色的“盖派”表演艺术。因擅演《武松》，有“江南活武松”之誉。,,
144,145,144,,鲁智深,花和尚,英雄类,净,副净,野猪林,英雄血泪图、山神庙,水浒传,袁世海,中文,高俅,僧道脸,勾脸,,白色,,棒槌眉,腰子眼窝,舍利子形,笑鼻窝,,,,,jpg,412,502,42.9,150,150,24,2020.1.5,,,,,
145,146,145,,李逵,黑旋风,英雄类,净,副净,清风寨,娶李逵、青风寨、小鳌山,水浒传,袁世海,中文,刘通,花三块瓦脸,勾脸,,黑色,,刀眉,垂眼窝,圆形,笑鼻窝,,,,,jpg,412,503,44.8,150,150,24,2020.1.5,,,,,
146,147,146,,杨志,青面兽,英雄类,净,武净,黄泥岗,生辰纲、七星聚义,水浒传,盖叫天,中文,晁盖,碎脸,勾脸,,蓝色,,狼牙眉,,随意形,碎鼻窝,,,,,jpg,412,502,55.1,150,150,24,2020.1.5,,,盖叫天（1888年-1971年1月15日），原名张英杰，号燕南，河北高阳县人，著名京剧表演艺术家。自幼入天津隆庆利科班，习武生。他继承南派武生创始人李春来的艺术风格，兼收京剧和昆曲各派武生表演艺术的长处，并借鉴武术，仔细观察自然界的各种现象，充实自身塑造人物形象的表现力。他以丰富的武打技术和人物形体美的造型，逐渐形成了独具特色的“盖派”表演艺术。因擅演《武松》，有“江南活武松”之誉。,,
147,148,147,,白胜,,英雄类,丑,,黄泥岗,生辰纲、七星聚义,水浒传,,中文,,,,,,,,,,,,,,,jpg,412,502,32.4,150,150,24,2020.1.5,,,,,
148,149,148,,王英,矮脚虎,英雄类,净,武净,神州擂,大神州、燕青打擂、神州擂台,水浒传,,中文,,碎脸,勾脸,,黄色,,,尖眼窝,随意形,,火盆嘴,,,,jpg,412,502,48.4,150,150,24,2020.1.5,,,,,
149,150,149,,宣赞,丑郡马,将官类,净,武净,收关胜,请关胜、战泊口、大兴梁山,水浒传,通用,中文,索超,碎脸,勾脸,,黑色,,云眉,花眼窝,锥形,尖鼻窝,,,,,jpg,412,502,49.7,150,150,24,2020.1.5,,,,,
150,151,150,,呼延灼,双鞭,英雄类,净,武净,青州府,瓦砾场,水浒传,骆连翔,中文,秦明,碎脸,勾脸,,黑色,,狼牙眉,垂眼窝,随意形,碎鼻窝,,,,,jpg,412,502,55.1,150,150,24,2020.1.5,,,,,
151,152,151,,秦明,霹雳火,英雄类,净,武净,青州府,瓦砾场,水浒传,俞振庭,中文,呼延灼,碎脸,勾脸,,红色,,狼牙眉,垂眼窝,随意形,碎鼻窝,,,,,jpg,412,502,51.6,150,150,24,2020.1.5,,,,,
152,153,152,,索超,急先锋,将官类,净,武净,收关胜,请关胜、战泊口、大兴梁山,水浒传,韩富信,中文,宣赞,三块瓦脸,勾脸,,蓝色,,钩眉,大奸眼窝,线形,尖鼻窝,,,,,jpg,412,502,48.4,150,150,24,2020.1.5,,,,,
